	Username	UserID	Tweet	Reply_to	Location	Date	Coordinates
0	Edgar41713447	1175967815477727240	RT @EstebanOrtizMD: On the generalities of the coronavirus			Sat Feb 29 23:59:57 +0000 2020	
1	SyuhadaWhoaa	303054216	"RT @elmnzhri: #Coronavirus spreading in our country

The government:"		Kuala Lumpur	Mon Jan 27 15:59:59 +0000 2020	
2	MissMalevxlent	737141910771503105	RT @ martiro10: What the hell are not going to have the coronavirus these Culiao		⠀ㅤㅤ⤹ 𝐌𝐘𝐒𝐓𝐈𝐂 𝐅𝐀𝐋𝐋𝐒, 𝐕𝐀 ╱ 𝑯𝑬𝑨𝑽𝑬𝑵 OR 𝑯𝑬𝑳𝑳｡✿ : MY LONELINESS 𝑨𝑰𝑵'𝑻 KILLING ME NO MORE, I'M 𝐒𝐓𝐑𝐎𝐍𝐆𝐄𝐑! ⌠ /SUPER/ FAKE｡⌡	Mon Jan 27 15:59:59 +0000 2020	
3	mouse_cl	2993031	the League of Legends tournament in China postpones coronavirus		Chile	Mon Jan 27 15:59:59 +0000 2020	
4	galexisdomin	211358561	RT @ 2001OnLine: # 27Ene US #China offers all the help you need to control the outbreak of #Coronavirus			Mon Jan 27 15:59:59 +0000 2020	
5	Eggoverlight	60354874	Does this mean we should all close our eyes for four months		iPhone: 00000000000000	Mon Jan 27 15:59:59 +0000 2020	
6	BLIKOPENER3331	1180862242763489287	RT @ Wiep13396680: Coronavirus escaped from bioweapons laboratory made? Expert outlines horrifying image			Mon Jan 27 15:59:59 +0000 2020	
7	httperico	2767610734	RT @hoemoticon: me when i hear someone coughing in class with this coronavirus spreading around		Umuarama, Brasil	Mon Jan 27 15:59:59 +0000 2020	
8	ppjkis	87771181	Coronavirus: Death toll rises to 81 as China extends holiday. There doing it to keep those who left China to spend…		london	Mon Jan 27 15:59:58 +0000 2020	
9	ThePolForum	2781480500	Think about that. 5 MILLION PEOPLE fled the city before it was locked down.  That's the entire population of Housto…	2781480500.0		Mon Jan 27 15:59:58 +0000 2020	
10	dwatchnews	449314153	RT @NYTHealth: Here's what scientists know about the spread of Wuhan coronavirus		International	Mon Jan 27 15:59:58 +0000 2020	
11	Skdy2014	2765232551	RT @_SantosTrinidad: Aena blames the Ministry of Health by the lack of means of protection against coronavirus		Quintana Roo, México	Mon Jan 27 15:59:58 +0000 2020	
12	VPITV	4527987340	# Ultimahora Beijing announced the first died of the coronavirus # 27Ene		Venezuela	Mon Jan 27 15:59:58 +0000 2020	
13	VDHgov	188369254	UPDATE - Virginia Department of Health Announces Two Patients Under Investigation Test Negative for Novel Coronavir…		Virginia	Mon Jan 27 15:59:58 +0000 2020	
14	Jkt_Networks	1209496054950842368	RT @ForexGlobalNews: USD May Rise as IDR, SGD and PHP Fall on Coronavirus Fears and Fed			Mon Jan 27 15:59:58 +0000 2020	
15	shortfuse52Com1	1208810778440208387	"RT @BasedPoland: Thank you China

#Wuhan #coronavirus"			Mon Jan 27 15:59:58 +0000 2020	
16	kataclysmichaos	1962578610	Symptoms of #coronavirus #WuhanPneumonia (via @ajlabs).		Colombo, Sri Lanka	Mon Jan 27 15:59:58 +0000 2020	
17	EduA001	51813322	"RT @MeteoAero: The map shows the spread of the #coronavirus in China and around the world.
# 27Ene"		Venezuela	Mon Jan 27 15:59:58 +0000 2020	
18	katherineefoley	261070959			Washington, DC	Mon Jan 27 15:59:57 +0000 2020	
19	m_yhay	1204452524733927424	"Just January 2020: 
US killed almost started WW3
Plane crash 
Coronavirus 
Maryam Sanda 
Plane Crash today again 
S…"		Nigeria	Mon Jan 27 15:59:57 +0000 2020	
20	ActualidadRT	100731315	The Ministry of Public Health of the Ecuador investigating a possible case of coronavirus infection originated in l ...	100731315.0		Mon Jan 27 15:59:57 +0000 2020	
21	enoamourao	730082310406742016	RT @JDTotana: Coronavirus highlights		Brasil	Mon Jan 27 15:59:57 +0000 2020	
22	Hoya97	119991364	France Will Fly ‘Few Hundred’ Citizens Stuck in Coronavirus Wuhan Area Home via @BreitbartNews		Marietta, GA	Mon Jan 27 15:59:57 +0000 2020	
23	klowidyubel	2301123998	RT @gmanews: JUST IN: Beijing reports capital's first death from coronavirus | via @AFP		Manila, Philippines	Mon Jan 27 15:59:57 +0000 2020	
24	marcosandreib	149620685	@salvadorccuevas RT: Mother! And then they are surprised that they are spreading the #coronavirus? #chinos #wuhan		Curitiba, Brasil	Mon Jan 27 15:59:57 +0000 2020	
25	basavaraj_shi	1212778624740282368	RT @AgentSaffron: According to this model, all humans on the planet will be infected with the Wuhan #coronavirus by September. 😷 		Bangalore	Mon Jan 27 15:59:57 +0000 2020	
26	RosaMireyaM	62958680				Mon Jan 27 15:59:57 +0000 2020	
27	JamesS020770	4827286170	RT @MsAvaArmstrong: Dr. Oz on coronavirus outbreak: Chinese leaders' new comments 'alarming'		US / CA	Mon Jan 27 15:59:57 +0000 2020	
28	mercadoprojects	4872069570	"RT @no_harm_: @spectatorindex 

TL:DR
From a SARS crisis survivor: 

Wear gloves in public places, change them daily…"		Zacatecas ➡️ San Antonio, Tx	Mon Jan 27 15:59:57 +0000 2020	
29	ElCandelazoNews	704495653	"#27Ene Canadá confirmó segundo caso de #coronavirus

Lee más en #ElCandelazo 👉🔥"		Venezuela	Mon Jan 27 15:59:57 +0000 2020	
30	ale_giseli	245519562	Coronavirus - MAP IN REAL TIME - was produced using data from WHO, CDC, CDC China, K ...		Brasília - Brasil	Mon Jan 27 15:59:57 +0000 2020	
31	LuccaBeltramino	2412607988	What are you waiting for? @coronavirus			Mon Jan 27 15:59:56 +0000 2020	
32	MarisaWard57	738654903409778688	Important thread on #coronavirus disinformation. 🔥🔥👇👇 		Somewhere Over The Rainbow	Mon Jan 27 15:59:56 +0000 2020	
33	Frankthedeacon	56795056	RT @Jerusalem_Post: Beijing has reported its first death from #coronavirus. The patient was infected on January 22nd.			Mon Jan 27 15:59:56 +0000 2020	
34	FAsdepik	1214272479297884160	🚨🚨 Donc je vous le dis préparez vous à tous le choper à la base c on boycott les chinois maintenant c tout le monde… 		Paris, France	Mon Jan 27 15:59:56 +0000 2020	
35	DieHYOU	50665187	- Let me know the measures that can - each one in preparation for the new coronavirus infection | Prime Minister's Office website		アストルティア	Mon Jan 27 15:59:55 +0000 2020	
36	Jackyfreeman5	1211323269921435648	RT @nazir_lord: Wuhan coronavirus found in Xinjiang, squalid Uighur camps vulnerable - Business Insider		Earth	Mon Jan 27 15:59:55 +0000 2020	
37	defcon_5	17212941	#coronavirus		ny | bos | sf | dc	Mon Jan 27 15:59:55 +0000 2020	
38	TiagoRGuedes	92590253	Sadly I have not seen no matter talking about the possibility of reaction to the coronavirus demobilize the production c ...			Mon Jan 27 15:59:55 +0000 2020	
39	v_barbee	976893843852247040	How the Wuhan coronavirus affects the body #SmartNews			Mon Jan 27 15:59:55 +0000 2020	
40	zigoraldama	207227095	The new Chinese revolution that caused the coronavirus Wuhan. Seen by Chinese netizens themselves, who p ...		Shanghai	Mon Jan 27 15:59:55 +0000 2020	
41	xxibgdrgn09	880614669093748737	RT @ehanstock: Some Tips To deal with the coronavirus which he said already there is a positive in Bandung guys. Please.			Mon Jan 27 15:59:55 +0000 2020	
42	Altair773	1164072573950484481	Why all coronavirus, sars, retrovirus, etc. They are generated in China and not in India, Bangladesh, etc?		España	Mon Jan 27 15:59:55 +0000 2020	
43	1Atsuhimerose2	235173460	RT @WHO: LIVE: Q&amp;A on novel coronavirus (2019-nCoV) 		🇯🇵Japan: Kagoshima city 鹿児島市	Mon Jan 27 15:59:55 +0000 2020	
44	jarct	61814694	RT @ehanstock: Some Tips To deal with the coronavirus which he said already there is a positive in Bandung guys. Please.		Indonesia	Mon Jan 27 15:59:54 +0000 2020	
45	Hyde4Congress	2883573263	RT @rfhyde1: I’m hearing the Coronavirus is in Connecticut. Be alert and safe and read this link.		USA	Mon Jan 27 15:59:54 +0000 2020	
46	tchopinn	776034391030128640	She has the coronavirus kill her		Valence, France	Mon Jan 27 15:59:54 +0000 2020	
