index	Username	UserID	Tweet	Location	Date	Year	Month	Tweet_Translated	Tweets_Clean	Latitude	Longitude
2191	purplecat42	2631580059	"RT @DavidB45212563: The 4 coaches collecting potential Coronavirus patients flown in from China. 
Look closely, we are doomed. "	Sheffield	Sat Feb 01 11:59:59 +0000 2020	2020	2	"RT @DavidB45212563: The 4 coaches collecting potential Coronavirus patients flown in from China. 
Look closely, we are doomed. "	@davidb45212563 coaches collecting potential patients flown china look closely doomed	53.3806626	-1.4702278
2192	DrOmanand	1222781674963886080	Coronavirus से कैसे बचें? | जाने रोकथाम एवं उपचार via @YouTube		Sat Feb 01 11:59:59 +0000 2020	2020	2	How to avoid Coronavirus? | Learn prevention and treatment via @YouTube	avoid learn prevention treatment @youtube	No latitude	No longitude
2193	AmericanShipper	31128798	Trans-Pacific container volumes face escalating coronavirus risk. #AmericanShipper #container #maritime #news… 	Chattanooga, TN	Sat Feb 01 11:59:59 +0000 2020	2020	2	Trans-Pacific container volumes face escalating coronavirus risk. #AmericanShipper #container #maritime #news… 	trans-pacific container volumes face escalating risk #americanshipper #container #maritime #news	35.0457219	-85.3094883
2194	MashableItalia	1157215503552851970	I social network contro le notizie false sul #coronavirus: le mosse di Facebook, Twitter e YouTube 	Italia	Sat Feb 01 11:59:59 +0000 2020	2020	2	Social networks against fake news on #coronavirus: the moves of Facebook, Twitter and YouTube	social networks fake news moves facebook twitter youtube	42.6384261	12.674297
2195	yoshimizutani2	302634313	RT @FencingMary: Looking/being Chinese does not mean you have the new Coronavirus!#jenesuispasunvirus #coronavirus 	Tokyo	Sat Feb 01 11:59:59 +0000 2020	2020	2	RT @FencingMary: Looking/being Chinese does not mean you have the new Coronavirus!#jenesuispasunvirus #coronavirus 	@fencingmary looking chinese mean #jenesuispasunvirus	35.6828387	139.7594549
2196	lily242824	1053376705698689025	"RT @EmergMedDr: Our face masks are from????

You can't make this up.

#coronavirus "		Sat Feb 01 11:59:59 +0000 2020	2020	2	"RT @EmergMedDr: Our face masks are from????

You can't make this up.

#coronavirus "	@emergmeddr face masks can't make	No latitude	No longitude
2197	MarcoCampa10	1191791348380254209	RT @Edourdoo: Coronavirus: US and Australia close borders to Chinese arrivals - BBC News 	Roma, Lazio	Sat Feb 01 11:59:59 +0000 2020	2020	2	RT @Edourdoo: Coronavirus: US and Australia close borders to Chinese arrivals - BBC News 	@edourdoo australia close borders chinese arrivals bbc news	41.8933203	12.4829321
2198	Luisjoargue	160194192	El paciente alemán contagiado de coronavirus y aislado en un hospital en La Gomera presenta «un cuadro leve»… 		Sat Feb 01 11:59:58 +0000 2020	2020	2	"The German patient infected with coronavirus and isolated in a hospital in La Gomera presents ""a mild picture"" ..."	german patient infected isolated hospital gomera presents mild picture	No latitude	No longitude
2199	Btslove53856099	1122369825441894402	RT @BTSPublicity: there’s been 12 confirmed cases of the coronavirus in the south korea today, maintain good hygiene and stay safe 💜 		Sat Feb 01 11:59:57 +0000 2020	2020	2	RT @BTSPublicity: there’s been 12 confirmed cases of the coronavirus in the south korea today, maintain good hygiene and stay safe 💜 	@btspublicity confirmed cases south korea today maintain good hygiene stay safe 💜	No latitude	No longitude
2200	HullRePublic	270576811	RT @davelee1968: First  coronavirus, now this. 	Kingston Upon Hull	Sat Feb 01 11:59:57 +0000 2020	2020	2	RT @davelee1968: First  coronavirus, now this. 	@davelee1968 first	53.7435722	-0.3394758
2201	mersintarsusdh	989723468697513985	RT @saglikbakanligi: 2019-nCoV (Yeni Coronavirus) nedir? 	Mersin, Türkiye	Sat Feb 01 11:59:57 +0000 2020	2020	2	RT @saglikbakanligi: What is 2019-nCoV (New Coronavirus)?	@saglikbakanligi ncov	36.8117583	34.6292679
2202	otuathail	434041348	"RT @roinnslainte: For updated information on #Coronavirus go to; 

Dept. of Health: 

HPSC: "	Dublin City, Ireland 	Sat Feb 01 11:59:57 +0000 2020	2020	2	"RT @roinnslainte: For updated information on #Coronavirus go to; 

Dept. of Health: 

HPSC: "	@roinnslainte updated information go dept health hpsc	53.3497645	-6.2602732
