index	Username	UserID	Tweet	Location	Date	Year	Month	Tweet_Translated	Tweets_Clean	Latitude	Longitude
3417	Acme_Computer	1732840166	"RT @tomselliott: SUPERCUT:

Dems would definitely never, EVER politicize the Coronavirus "	Yuma, Az. 85364	Mon Mar 02 22:59:58 +0000 2020	2020	3	"RT @tomselliott: SUPERCUT:

Dems would definitely never, EVER politicize the Coronavirus "	@tomselliott supercut dems would definitely never ever politicize	32.6926588	-114.6276157
3418	GTC62	49857786	RT @SPC_Harry: @RexChapman Coronavirus would've spread so fast in the movie Face-Off. 	786	Wed Mar 04 17:44:58 +0000 2020	2020	3	RT @SPC_Harry: @RexChapman Coronavirus would've spread so fast in the movie Face-Off. 	@spc_harry @rexchapman would've spread fast movie face-off	37.3779645	126.97576
3419	McLovinSJ	240081523	RT @QuickTake: WHO officials say it’s now clear how the new #coronavirus spreads, at least in most cases 	Bucharest, Romania	Sun Mar 08 08:29:54 +0000 2020	2020	3	RT @QuickTake: WHO officials say it’s now clear how the new #coronavirus spreads, at least in most cases 	@quicktake officials say clear spreads least cases	44.4361414	26.1027202
3420	HavenPancakes	215821179	RT @DojaAccess: doja talking about the coronavirus is the funniest thing i’ve heard all day 	Storybrooke	Sun Mar 08 14:44:58 +0000 2020	2020	3	RT @DojaAccess: doja talking about the coronavirus is the funniest thing i’ve heard all day 	@dojaaccess doja talking funniest thing heard day	29.0596004	-81.0342848
3421	eylnia	1150432291497267200	"RT @OH_mes2: SEVENTEEN Hoshi has donated 50 million won to Hope Bridge to help support those affected by the Coronavirus outbreak 

"	diruang bawah tanah	Mon Mar 09 05:29:55 +0000 2020	2020	3	"RT @OH_mes2: SEVENTEEN Hoshi has donated 50 million won to Hope Bridge to help support those affected by the Coronavirus outbreak 

"	@oh_mes2 seventeen hoshi donated 50 million hope bridge help support affected outbreak	No latitude	No longitude
3422	Iv4n_Alvarez	2185031146	RT @gabyquile: El Coronavirus matando la liga a todos los raperitos de Puerto Rico 		Mon Mar 09 05:29:56 +0000 2020	2020	3	RT @gabyquile: The Coronavirus killing the league all the rappers of Puerto Rico	@gabyquile killing league rappers puerto rico	No latitude	No longitude
3423	janycemcgregor	245171554	RT @wendyscutler: Coronavirus outbreak may force US, China to rework trade deal implementation | TheHill 	Ottawa	Mon Mar 09 11:29:56 +0000 2020	2020	3	RT @wendyscutler: Coronavirus outbreak may force US, China to rework trade deal implementation | TheHill 	@wendyscutler outbreak may force china rework trade deal implementation thehill	45.421106	-75.690308
3424	wajjs_	3131894091	RT @montypython: How to prepare for a pandemic #coronavirus #montypython 	I'M TIRED	Tue Mar 10 02:29:58 +0000 2020	2020	3	RT @montypython: How to prepare for a pandemic #coronavirus #montypython 	@montypython prepare pandemic #montypython	20.8206249	105.3413704
3425	FuckYoLife1_87	134945489	RT @kingtreIII: Exaggerating how I survived the coronavirus apocalypse to my grandkids 	Milwaukee	Thu Mar 12 08:29:58 +0000 2020	2020	3	RT @kingtreIII: Exaggerating how I survived the coronavirus apocalypse to my grandkids 	@kingtreiii exaggerating survived apocalypse grandkids	43.0349931	-87.922497
3426	Paparazzi4U	207904545	RT @policeofficer: LAX police officer tests positive for #coronavirus  	Hollywood, California	Mon Mar 16 05:44:58 +0000 2020	2020	3	RT @policeofficer: LAX police officer tests positive for #coronavirus  	@policeofficer lax police officer tests positive	34.0980031	-118.329523
