Username	UserID	Tweet	Reply_to	Location	Date	Year	Month	Tweet_Translated
dt_next	3991108098	The government has issued a travel advisory asking citizens to follow certain precautionary measures while visiting… 		Chennai, India	Fri Jan 17 11:59:45 +0000 2020	2020	1	The government has issued a travel advisory asking citizens to follow certain precautionary measures while visiting…
gomez_grandes	1136279013763289088	RT @gomez_grandes: #Cuba China registra una segunda muerte por causa del nuevo coronavirus - RT 			Fri Jan 17 11:59:40 +0000 2020	2020	1	RT @gomez_grandes: #Cuba China registers a second death from the new coronavirus - RT
ommzk	229737319	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 		ToxiCity:	Fri Jan 17 11:58:52 +0000 2020	2020	1	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
CTV_AvisFavaro	24185568	RT @CTVNews: China reports second death in coronavirus outbreak 		Toronto	Fri Jan 17 11:58:51 +0000 2020	2020	1	RT @CTVNews: China reports second death in coronavirus outbreak
supriyabez	206092315	RT @WHO: Reduce your risk of #coronavirus infection: 		Delhi	Fri Jan 17 11:58:36 +0000 2020	2020	1	RT @WHO: Reduce your risk of #coronavirus infection:
f_talmon	3293713235	Neuartiges Coronavirus in China: Zweiter Patient stirbt an Lungenkrankheit - DER SPIEGEL - Wissenschaft 		Stuttgart, München, Berlin	Fri Jan 17 11:58:06 +0000 2020	2020	1	New type of coronavirus in China: second patient dies of lung disease - DER SPIEGEL - Wissenschaft
elvia_francis	243093295	RT @WHO: Reduce your risk of #coronavirus infection: 		New York, NY	Fri Jan 17 11:57:13 +0000 2020	2020	1	RT @WHO: Reduce your risk of #coronavirus infection:
NewaiGreen	1969399538	WHO warns hospitals worldwide of outbreak of coronavirus affecting dozens in Central China 			Fri Jan 17 11:57:09 +0000 2020	2020	1	WHO warns hospitals worldwide of outbreak of coronavirus affecting dozens in Central China
ironsightforge	3365144177	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 		United States	Fri Jan 17 11:57:08 +0000 2020	2020	1	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
unicornfantasy5	858430673476087813	RT @WHO: Reduce your risk of #coronavirus infection: 		United Kingdom 	Fri Jan 17 11:56:27 +0000 2020	2020	1	RT @WHO: Reduce your risk of #coronavirus infection:
DJZJCZ	3131971197	"RT @jennifersterri1: ""WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan""  "			Fri Jan 17 11:56:18 +0000 2020	2020	1	"RT @jennifersterri1: ""WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan"""
throse_gd	64258566	RT @CyrusShahpar: Disease outbreak news from the WHO: 		Australia	Fri Jan 17 11:56:15 +0000 2020	2020	1	RT @CyrusShahpar: Disease outbreak news from the WHO:
wereld_reizen	712993374	Longvirus eist tweede slachtoffer in China: In China is een tweede persoon overleden aan de gevolgen van het myster… 			Fri Jan 17 11:56:03 +0000 2020	2020	1	Lung virus claims second victim in China: In China a second person has died as a result of the myster ...
tvnnoticias	299693451	#NoticiasTVN El pasado martes la Organización Mundial de la Salud (OMS) informó de la puesta en marcha de medidas d… 		Panamá	Fri Jan 17 11:55:53 +0000 2020	2020	1	#NoticiasTVN Last Tuesday the World Health Organization (WHO) reported the implementation of measures to ...
throse_gd	64258566	RT @bactiman63: Novel #coronavirus: #Thailand reports 2nd confirmed case 		Australia	Fri Jan 17 11:55:34 +0000 2020	2020	1	RT @bactiman63: Novel #coronavirus: #Thailand reports 2nd confirmed case
samiajose	98387226	"RT @ElInformanteMX: #China registra una segunda muerte por causa del nuevo coronavirus

"			Fri Jan 17 11:55:33 +0000 2020	2020	1	RT @ElInformanteMX: #China registers a second death from the new coronavirus
dartgunintel	557822951	RT @DDNewslive: Health Ministry issues advisory to travellers visiting #China in view of #CoronaVirus outbreak 		Aspen, USA	Fri Jan 17 11:55:22 +0000 2020	2020	1	RT @DDNewslive: Health Ministry issues advisory to travellers visiting #China in view of #CoronaVirus outbreak
dw_espanol	6135622	La paciente es una turista china proveniente de la Wuhan, la provincia donde fue detectado este nuevo tipo de coron… 		Berlin, Germany	Fri Jan 17 11:55:10 +0000 2020	2020	1	The patient is a Chinese tourist from Wuhan, the province where this new type of coronary was detected.
MrLim8888	1047068716591124480	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline			Fri Jan 17 11:54:15 +0000 2020	2020	1	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline
tokogriff_s	898775126	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline			Fri Jan 17 11:53:20 +0000 2020	2020	1	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline
weatherindia	920364181488132096	.@WHO has issued a warning after the Japanese Ministry of Health, Labour and Welfare, informed the @UN of a confirm… 		India	Fri Jan 17 11:53:20 +0000 2020	2020	1	.@WHO has issued a warning after the Japanese Ministry of Health, Labour and Welfare, informed the @UN of a confirm…
vipinbarolia	179489641	"RT @livemint: India to screen travellers from China at airports for coronavirus

(report by @neetu_csharma)  

http…"		New Delhi, India	Fri Jan 17 11:53:16 +0000 2020	2020	1	"RT @livemint: India to screen travellers from China at airports for coronavirus

(report by @neetu_csharma)  

http…"
Sutu47News	3130788426	"Zweiter Patient stirbt an #Lungenkrankheit

Mehr als 40 Menschen leiden in #China an einer neuartigen Lungenkrankhe… "		Berlin, Deutschland	Fri Jan 17 11:53:05 +0000 2020	2020	1	"Second patient dies of # lung disease

More than 40 people in #China suffer from a new type of lung disease ..."
TempoTemptress	78897887	RT @WHO: Reduce your risk of #coronavirus infection: 		🇺🇸🌎 UNIVERSAL	Fri Jan 17 11:52:51 +0000 2020	2020	1	RT @WHO: Reduce your risk of #coronavirus infection:
MickymeetsDaegu	770701465270808578	RT @WHOWPRO: Reduce your risk of coronavirus infection by following these tips! 		Canada	Fri Jan 17 11:52:50 +0000 2020	2020	1	RT @WHOWPRO: Reduce your risk of coronavirus infection by following these tips!
_Zoe_Andrews	281755275	RT @RSTMH: What you need to know about a new strain of #coronavirus — named 2019-nCoV — that has been discovered in China: 		Bailiwick of Guernsey, United Kingdom	Fri Jan 17 11:52:46 +0000 2020	2020	1	RT @RSTMH: What you need to know about a new strain of #coronavirus — named 2019-nCoV — that has been discovered in China:
AndyVermaut	283604227	Amidst novel coronavirus outbreak in China, Health Ministry issues travel advisory for travels visiting China… 		Diksmuide, België	Fri Jan 17 11:52:06 +0000 2020	2020	1	Amidst novel coronavirus outbreak in China, Health Ministry issues travel advisory for travels visiting China…
noticiasdemexi2	1095258406770958336	Coronavirus: Second death from SARS-like illness in Wuhan, China 		Mexico	Fri Jan 17 11:51:49 +0000 2020	2020	1	Coronavirus: Second death from SARS-like illness in Wuhan, China
3montMonty	462459744	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline@Salon @MSNBC… 			Fri Jan 17 11:51:31 +0000 2020	2020	1	Thailand announces a SECOND case of Chinese coronavirus via @MailOnline@Salon @MSNBC…
DelthiaRicks	732787392722182144	Pathogen linked to pneumonia &amp; 2 deaths is what the CDC calls a novel coronavirus. A @Devex-produced map shows wher… 		New York	Fri Jan 17 11:51:03 +0000 2020	2020	1	Pathogen linked to pneumonia &amp; 2 deaths is what the CDC calls a novel coronavirus. A @Devex-produced map shows wher… 
DelilahVeronese	1525512522	@WHO: @WHOThailand @WHOSEARO @WHOWPRO Protect yourself &amp; others from getting sick: 5⃣ Practice #foodsafety 🍽… 	14499829.0	Hells Hollow, NH	Fri Jan 17 11:51:00 +0000 2020	2020	1	@WHO: @WHOThailand @WHOSEARO @WHOWPRO Protect yourself &amp; others from getting sick: 5⃣ Practice #foodsafety 🍽… 
