Username	UserID	Tweet	Reply_to	Location	Date	Coordinates	Tweet_Translated
dt_next	3991108098	The government has issued a travel advisory asking citizens to follow certain precautionary measures while visiting… 		Chennai, India	Fri Jan 17 11:59:45 +0000 2020		The government has issued a travel advisory asking citizens to follow certain precautionary measures while visiting…
gomez_grandes	1136279013763289088	RT @gomez_grandes: #Cuba China registra una segunda muerte por causa del nuevo coronavirus - RT 			Fri Jan 17 11:59:40 +0000 2020		RT @gomez_grandes: #Cuba China registers a second death from the new coronavirus - RT
ommzk	229737319	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 		ToxiCity:	Fri Jan 17 11:58:52 +0000 2020		RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
CTV_AvisFavaro	24185568	RT @CTVNews: China reports second death in coronavirus outbreak 		Toronto	Fri Jan 17 11:58:51 +0000 2020		RT @CTVNews: China reports second death in coronavirus outbreak
supriyabez	206092315	RT @WHO: Reduce your risk of #coronavirus infection: 		Delhi	Fri Jan 17 11:58:36 +0000 2020		RT @WHO: Reduce your risk of #coronavirus infection:
f_talmon	3293713235	Neuartiges Coronavirus in China: Zweiter Patient stirbt an Lungenkrankheit - DER SPIEGEL - Wissenschaft 		Stuttgart, München, Berlin	Fri Jan 17 11:58:06 +0000 2020		New type of coronavirus in China: second patient dies of lung disease - DER SPIEGEL - Wissenschaft
elvia_francis	243093295	RT @WHO: Reduce your risk of #coronavirus infection: 		New York, NY	Fri Jan 17 11:57:13 +0000 2020		RT @WHO: Reduce your risk of #coronavirus infection:
NewaiGreen	1969399538	WHO warns hospitals worldwide of outbreak of coronavirus affecting dozens in Central China 			Fri Jan 17 11:57:09 +0000 2020		WHO warns hospitals worldwide of outbreak of coronavirus affecting dozens in Central China
ironsightforge	3365144177	RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people 		United States	Fri Jan 17 11:57:08 +0000 2020		RT @MailOnline: Thailand announces a SECOND case of Chinese coronavirus that has killed two people
unicornfantasy5	858430673476087813	RT @WHO: Reduce your risk of #coronavirus infection: 		United Kingdom 	Fri Jan 17 11:56:27 +0000 2020		RT @WHO: Reduce your risk of #coronavirus infection:
DJZJCZ	3131971197	"RT @jennifersterri1: ""WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan""  "			Fri Jan 17 11:56:18 +0000 2020		"RT @jennifersterri1: ""WHO issues warning after 'mysterious' Chinese coronavirus spreads to Japan"""
throse_gd	64258566	RT @CyrusShahpar: Disease outbreak news from the WHO: 		Australia	Fri Jan 17 11:56:15 +0000 2020		RT @CyrusShahpar: Disease outbreak news from the WHO:
wereld_reizen	712993374	Longvirus eist tweede slachtoffer in China: In China is een tweede persoon overleden aan de gevolgen van het myster… 			Fri Jan 17 11:56:03 +0000 2020		Lung virus claims second victim in China: In China a second person has died as a result of the myster ...
tvnnoticias	299693451	#NoticiasTVN El pasado martes la Organización Mundial de la Salud (OMS) informó de la puesta en marcha de medidas d… 		Panamá	Fri Jan 17 11:55:53 +0000 2020		#NoticiasTVN Last Tuesday the World Health Organization (WHO) reported the implementation of measures to ...
