index	Username	UserID	Tweet	Location	Date	Year	Month	Tweet_Translated	Tweets_Clean	Latitude	Longitude
7740	Sheer_C0n	941373176	@Blackdolphin5 @Jensen_Jennings @BruceFeldmanCFB @SoonerScoop In January, 2009, a novel strain of the H1N1 virus em… 	Dimension C-137	Wed Aug 12 02:44:59 +0000 2020	2020	8	@Blackdolphin5 @Jensen_Jennings @BruceFeldmanCFB @SoonerScoop In January, 2009, a novel strain of the H1N1 virus em… 	@blackdolphin5 @jensen_jennings @brucefeldmancfb @soonerscoop january 2009 novel strain h1n1 virus em	4.7198009	-74.0552395
7741	lehimesa	22846618	RT @AlaskanNovelist: Annie Glenn, wife of late astronaut and U.S. Sen. John Glenn, dies of coronavirus   	arizona	Wed Aug 12 02:44:56 +0000 2020	2020	8	RT @AlaskanNovelist: Annie Glenn, wife of late astronaut and U.S. Sen. John Glenn, dies of coronavirus   	@alaskannovelist annie glenn wife late astronaut sen john glenn dies	34.395342	-111.7632755
7742	kkjhn4	1210794637	"RT @PhilipRucker: End of an era? Trump suggests no more rallies because of empty seats, @agearan writes
"		Wed Aug 12 02:44:54 +0000 2020	2020	8	"RT @PhilipRucker: End of an era? Trump suggests no more rallies because of empty seats, @agearan writes
"	@philiprucker end trump suggests rallies empty seats @agearan writes	No latitude	No longitude
7743	andrewmarsh6	26265151	@Neoavatara In so much as you're getting people without the virus on campus to start the semester. One problem I'm… 		Wed Aug 12 02:44:54 +0000 2020	2020	8	@Neoavatara In so much as you're getting people without the virus on campus to start the semester. One problem I'm… 	@neoavatara much getting people without virus campus start semester one problem i'm	No latitude	No longitude
7744	modi_2_	1135264465174388736	"MODI 2,
| Coronavirus crisis could spark 'massive' new migration: Red Cross… "		Wed Aug 12 02:44:54 +0000 2020	2020	8	"MODI 2,
| Coronavirus crisis could spark 'massive' new migration: Red Cross… "	modi crisis could spark massive migration red cross	No latitude	No longitude
7745	jszpicki	2390374075	@MichaelSteinbo2 @SomeBitchIKnow Not saying it is the sole cause (and sorry if it read that way) but there sure as… 	Illinois	Wed Aug 12 02:44:52 +0000 2020	2020	8	@MichaelSteinbo2 @SomeBitchIKnow Not saying it is the sole cause (and sorry if it read that way) but there sure as… 	@michaelsteinbo2 @somebitchiknow saying sole cause sorry read way sure	40.0796606	-89.4337288
7746	lilrulivert	1092235103617597442	RT @ReutersUS: U.S. inks $1.5 billion deal with Moderna for 100 million doses of COVID-19 vaccine 	mi casa	Wed Aug 12 02:44:52 +0000 2020	2020	8	RT @ReutersUS: U.S. inks $1.5 billion deal with Moderna for 100 million doses of COVID-19 vaccine 	@reutersus inks 1.5 billion deal moderna 100 million doses vaccine	33.302291749999995	44.333980746239305
7747	Maria97499247	1241279567903547392	@realDonaldTrump can’t let Bidden win. Suggested TV campaign spotlighting what you have done for America during cor… 		Wed Aug 12 02:44:51 +0000 2020	2020	8	@realDonaldTrump can’t let Bidden win. Suggested TV campaign spotlighting what you have done for America during cor… 	@realdonaldtrump let bidden win suggested tv campaign spotlighting done america cor	No latitude	No longitude
7748	kaist455	143669316	RT @stevensantos: Pence is the head of the Coronavirus Task Force and we all see how well he's handling that. 	South Korea	Wed Aug 12 02:44:51 +0000 2020	2020	8	RT @stevensantos: Pence is the head of the Coronavirus Task Force and we all see how well he's handling that. 	@stevensantos pence head task force see well he's handling	36.638392	127.6961188
7749	WAAYTV	9899992	Your Tuesday night update 	Huntsville, AL	Wed Aug 12 02:44:51 +0000 2020	2020	8	Your Tuesday night update 	tuesday night update	34.729847	-86.5859011
7750	tetsu0724d	1155452351668318208	RT @AJENews: New York's coronavirus death toll in nursing homes, already among the highest in the nation. 	Japan	Wed Aug 12 02:44:50 +0000 2020	2020	8	RT @AJENews: New York's coronavirus death toll in nursing homes, already among the highest in the nation. 	@ajenews york's death toll nursing homes already among highest nation	36.5748441	139.2394179
7751	charleybrown77	29335257	"Vernon Coleman:
""I can demolish the whole coronavirus nonsense in less than three minutes. Everything in this list… "	Ottawa, Canada	Wed Aug 12 02:44:48 +0000 2020	2020	8	"Vernon Coleman:
""I can demolish the whole coronavirus nonsense in less than three minutes. Everything in this list… "	vernon coleman demolish whole nonsense less three minutes everything list	45.421106	-75.690308
7752	Stephie1945	309968068	RT @candies2639: Trump says college football should happen this fall because coronavirus 'just attacks old people' 		Wed Aug 12 02:44:47 +0000 2020	2020	8	RT @candies2639: Trump says college football should happen this fall because coronavirus 'just attacks old people' 	@candies2639 trump says college football happen fall attacks old people	No latitude	No longitude
